Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
brandweer,graag hefbrug boskoop vrij houden,Geen beschrijving beschikbaar,2023-10-31,14:20:52
brandweer,p 1 bdh-02 ongeval gaslekkage buiten den ham boskoop 169194 162234,Gaslek op Den Ham in Boskoop,2023-10-31,14:20:16
brandweer,prins clausbrug vrijhouden voor hulpdiensten,Brandweer,2023-10-31,14:19:16
brandweer,p 1 brt-02 ongeval koolmonoxide binnen schumannlaan rotterdam 171031 179021 179192,Ongeval op Schumannlaan in Rotterdam,2023-10-31,14:18:56
brandweer,"prio 5 a4 re 47,3 sgravh wegverkeer verkeersstremming soort stremming: pechgeval",Brandweer voor oefening naar A4 in Den Haag,2023-10-31,14:18:39
brandweer,intrekken alarm brw dier op hoogte achter de kerk delden,Brandweer met spoed naar Achter de Kerk in Delden  loos alarm,2023-10-31,14:18:09
brandweer,p 2 bob-02 liftopsluiting snellestraat 's-hertogenbosch 212031,Geen beschrijving beschikbaar,2023-10-31,14:15:37
brandweer,p 1 bon-03 reanimatie tilassistentie zesakkers wijchen 083331,Assistentie ambulance op Zesakkers in Wijchen,2023-10-31,14:15:32
brandweer,p 2 bon-02 dier op hoogte achter de kerk delden 051531,Brandweer met gepaste spoed naar Achter de Kerk in Delden,2023-10-31,14:14:46
brandweer,p 1 blb-01 ongeval gaslekkage buiten hoogbeek schin op geul 243991 243161 243431,Gaslek op Hoogbeek in Schin Op Geul,2023-10-31,14:14:31
brandweer,p 1 bnn-01 oms brandmelding blok 2 + gemeenschap. ruimten hooiweg eelde 038131,Automatisch brandalarm op Hooiweg in Eelde,2023-10-31,14:12:07
brandweer,p 2 bad-02 ass. ambu afhijsen marnixstraat amsterdam 133351 133331,Assistentie ambulance voor afhijsen patiënt op Marnixstraat in Amsterdam,2023-10-31,14:11:52
brandweer,p 2 bzb-01 br gerucht sportlaan hoogerheide 201444,Brandgerucht op Sportlaan in Hoogerheide,2023-10-31,14:06:57
brandweer,p 1 bdh-14 ongeval wegvervoer binckhorstlaan rotterdamsebaan rechts 's-gravenhage 159661,Ongeval op Binckhorstlaan in Den Haag,2023-10-31,14:05:09
brandweer,p 2 bon-04 oms brandmelding urenco nederland unl drienemansweg almelo 059332,Automatisch brandalarm op Drienemansweg in Almelo,2023-10-31,14:03:59
brandweer,p 2 hv overig gaslekkage buiten lijsterbesstraat nieuwegein 090571,Gaslek op Lijsterbesstraat in Nieuwegein,2023-10-31,14:03:22
