Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
brandweer,"p 1 bdh-02 ongeval gaslucht, gaslekkage buiten ovd-b cannenburglaan 's-gravenhage 159591",Gaslucht op Cannenburglaan in Den Haag,2023-10-31,16:48:46
brandweer,p 1 bdh-02 stank/hind. lucht gaslucht buiten cannenburglaan 's-gravenhage 157630,Gaslucht op Cannenburglaan in Den Haag,2023-10-31,16:48:46
brandweer,"prio 4 a12 li - kp gouwe 26,6 h waddxv wegverkeer verkeersstremming soort stremming: pechgeval",Brandweer naar A12 in Waddinxveen  rijksweg a12,2023-10-31,16:48:37
brandweer,p 1 bzb-02 persoon te water standertmolenstraat graauw 196650,Geen beschrijving beschikbaar,2023-10-31,16:48:29
brandweer,p 1 bzb-02 persoon te water standertmolenstraat graauw 194510,Persoon te water op Standertmolenstraat in Graauw,2023-10-31,16:48:04
brandweer,p 2 bnn-01 liftopsluiting waterloolaan groningen 011832,Assistentie bij liftopsluiting op Waterloolaan in Groningen,2023-10-31,16:48:04
brandweer,p 2 bmd-05 wateroverlast simon vestdijkstraat almere 254131,Wateroverlast op Simon Vestdijkstraat in Almere,2023-10-31,16:47:46
brandweer,u bent niet langer actief in de functie ac-bz piket.,Brandweer,2023-10-31,16:46:33
brandweer,u bent nu actief in de functie ac-bz piket.,Brandweer,2023-10-31,16:46:33
brandweer,p 1 bzb-02 persoon te water standertmolenstraat graauw 196610 194910 196695 196730 196750,Persoon te water op Standertmolenstraat in Graauw,2023-10-31,16:46:28
brandweer,p 2 bad-02 ass. ambu afhijsen hogeweg amsterdam 133451 133431,Assistentie ambulance voor afhijsen patiënt op Hogeweg in Amsterdam,2023-10-31,16:45:14
brandweer,p 2 bon-04 oms brandmelding p.c. van tuijl kesteren bv batterijenweg kesteren 088231,Automatisch brandalarm op Batterijenweg in Kesteren,2023-10-31,16:45:07
brandweer,"p 1 bdh-02 ongeval gaslekkage, gaslucht buiten cannenburglaan 's-gravenhage",Gaslucht op Cannenburglaan in Den Haag,2023-10-31,16:44:10
brandweer,p 1 bdh-03 stank/hind. lucht gaslucht binnen domino's pizza vijf meilaan leiden 169192 164230,Gaslucht op Vijf Meilaan in Leiden,2023-10-31,16:42:16
brandweer,p 1 bdh-02 stank/hind. lucht gaslucht buiten cannenburglaan 's-gravenhage 157650,Gaslucht op Cannenburglaan in Den Haag,2023-10-31,16:36:29
brandweer,p 1 bmd-04 br woning schoorsteen burgemeester s'jacoblaan bussum 147052 141232 141631,Geen beschrijving beschikbaar,2023-10-31,16:34:31
brandweer,p 1 bmd-02 hv weg letsel thv: licht filipijnenstraat almere 254091 254132 254133,Ongeval met letsel op Filipijnenstraat in Almere,2023-10-31,16:31:22
brandweer,u bent niet langer actief in de functie communicatie adviseur copi.,Brandweer,2023-10-31,16:25:54
brandweer,p 2 bon-03 ass. ambu tilassistentie rozenstraat eerbeek 063841,Assistentie ambulance op Rozenstraat in Eerbeek,2023-10-31,16:25:17
brandweer,p 2 bad-01 wateroverlast sloterkade amsterdam 139233,Wateroverlast op Sloterkade in Amsterdam,2023-10-31,16:22:26
brandweer,p 2 bmd-01 br gerucht betreft: oms mc groep urkerweg emmeloord 256131,Brandgerucht op Urkerweg in Emmeloord,2023-10-31,16:21:16
